        word  % in annotation
     sitting  0.00030381528030957176
    <<stop>>  0.01199270843327257
       ahead  0.000511688893152963
         bit  0.0004797083373309028
        near  0.0006236208385301737
        gaze  1.5990277911030093e-05
     further  6.396111164412037e-05
       three  0.00022386389075442132
       parts  3.198055582206019e-05
        warm  0.00011193194537721066
        tier  1.5990277911030093e-05
           t  1.5990277911030093e-05
          he  4.797083373309028e-05
      beside  0.00022386389075442132
     leaning  1.5990277911030093e-05
        case  1.5990277911030093e-05
     reading  6.396111164412037e-05
        drop  0.0002078736128433912
       start  0.00011193194537721066
        pull  1.5990277911030093e-05
    cushions  1.5990277911030093e-05
  containing  9.594166746618056e-05
counterclockwise  4.797083373309028e-05
       until  0.00044772778150884264
       reach  0.00038376666986472224
      locate  9.594166746618056e-05
        gray  0.0002558444465764815
        cold  6.396111164412037e-05
  underneath  0.00015990277911030095
       shefl  1.5990277911030093e-05
        make  0.00038376666986472224
       space  0.00014391250119927083
       layer  1.5990277911030093e-05
       quick  3.198055582206019e-05
        hook  3.198055582206019e-05
      hanger  6.396111164412037e-05
       steps  0.0007195625059963542
      topped  1.5990277911030093e-05
      toward  0.0007195625059963542
        wire  1.5990277911030093e-05
      facing  0.000495698615241933
      basket  0.00012792222328824075
        ball  3.198055582206019e-05
        same  0.00011193194537721066
       plant  0.00019188333493236112
        full  4.797083373309028e-05
     avocado  1.5990277911030093e-05
       range  1.5990277911030093e-05
        gold  6.396111164412037e-05
      chairs  0.00011193194537721066
       using  3.198055582206019e-05
     nearest  0.00012792222328824075
       doors  0.00014391250119927083
     several  4.797083373309028e-05
      pieces  0.00015990277911030095
        rear  6.396111164412037e-05
      little  4.797083373309028e-05
       sharp  9.594166746618056e-05
        stay  6.396111164412037e-05
         was  6.396111164412037e-05
           3  1.5990277911030093e-05
      moving  1.5990277911030093e-05
      passed  3.198055582206019e-05
         ice  4.797083373309028e-05
       cream  4.797083373309028e-05
     blender  6.396111164412037e-05
       begin  0.00015990277911030095
     walking  0.00019188333493236112
 compartment  7.995138955515047e-05
        onto  0.00012792222328824075
     upright  1.5990277911030093e-05
        half  7.995138955515047e-05
     cooling  3.198055582206019e-05
    tomatoes  3.198055582206019e-05
      shower  0.00019188333493236112
    carrying  4.797083373309028e-05
        have  3.198055582206019e-05
    slightly  0.0002078736128433912
        away  7.995138955515047e-05
       along  6.396111164412037e-05
     pullout  3.198055582206019e-05
    forwards  0.00017589305702133103
      larger  6.396111164412037e-05
        once  0.00011193194537721066
       clear  3.198055582206019e-05
    approach  0.00017589305702133103
     smaller  4.797083373309028e-05
   recycling  1.5990277911030093e-05
   remaining  4.797083373309028e-05
        bear  1.5990277911030093e-05
         see  0.00012792222328824075
     located  4.797083373309028e-05
      apples  4.797083373309028e-05
           5  3.198055582206019e-05
     beneath  4.797083373309028e-05
      square  0.00019188333493236112
     bottles  3.198055582206019e-05
       turnn  1.5990277911030093e-05
    electric  1.5990277911030093e-05
     storage  4.797083373309028e-05
     desktop  3.198055582206019e-05
      before  0.00015990277911030095
     turning  0.00012792222328824075
     closing  3.198055582206019e-05
        pass  7.995138955515047e-05
        veer  9.594166746618056e-05
         all  0.00014391250119927083
         way  0.00017589305702133103
        area  7.995138955515047e-05
      nearby  1.5990277911030093e-05
         hit  7.995138955515047e-05
        till  1.5990277911030093e-05
     section  0.00012792222328824075
     farther  1.5990277911030093e-05
        feet  4.797083373309028e-05
      office  4.797083373309028e-05
       which  3.198055582206019e-05
        text  1.5990277911030093e-05
     holding  9.594166746618056e-05
    continue  4.797083373309028e-05
        very  1.5990277911030093e-05
      potted  1.5990277911030093e-05
        vase  3.198055582206019e-05
   bookshelf  4.797083373309028e-05
        this  0.00012792222328824075
        part  6.396111164412037e-05
        spot  1.5990277911030093e-05
     cabbage  6.396111164412037e-05
         car  3.198055582206019e-05
       found  3.198055582206019e-05
         wet  9.594166746618056e-05
    opposite  0.00019188333493236112
          as  4.797083373309028e-05
      almost  1.5990277911030093e-05
       boxes  1.5990277911030093e-05
         ran  1.5990277911030093e-05
        when  0.00028782500239854167
        foot  6.396111164412037e-05
    touching  1.5990277911030093e-05
       stool  7.995138955515047e-05
         use  0.00019188333493236112
      pepper  0.0003198055582206019
        mill  6.396111164412037e-05
   dispenser  3.198055582206019e-05
  completely  7.995138955515047e-05
     through  6.396111164412037e-05
     doorway  3.198055582206019e-05
