        word  % in annotation
        wine  0.0015968063872255488
     kitchen  0.0034597471723220225
      second  0.0003992015968063872
       chill  0.002262142381902861
       right  0.0006653359946773121
refrigerator  0.0018629407850964737
         top  0.003992015968063872
       white  0.0025282767797737858
       three  0.0001330671989354624
        tier  0.0001330671989354624
        next  0.0015968063872255488
      corner  0.0006653359946773121
        side  0.0006653359946773121
        both  0.0005322687957418496
        drop  0.0005322687957418496
     reading  0.0001330671989354624
      silver  0.0006653359946773121
        cook  0.0006653359946773121
        heat  0.0010645375914836992
        down  0.0015968063872255488
       green  0.0013306719893546241
   cardboard  0.0003992015968063872
  containing  0.0003992015968063872
           ,  0.009181636726546906
        left  0.0014637391882900866
       layer  0.0001330671989354624
           '  0.0006653359946773121
           s  0.0006653359946773121
      hanger  0.0001330671989354624
           -  0.0003992015968063872
        hand  0.0006653359946773121
      cooled  0.0010645375914836992
       upper  0.0001330671989354624
        over  0.0001330671989354624
      dining  0.0005322687957418496
    transfer  0.0002661343978709248
        grey  0.0003992015968063872
        onto  0.0013306719893546241
      basket  0.0003992015968063872
        ball  0.0001330671989354624
      cloths  0.0001330671989354624
        them  0.0010645375914836992
        sofa  0.0006653359946773121
        full  0.0003992015968063872
       water  0.0010645375914836992
      inside  0.0027944111776447107
   gathering  0.0001330671989354624
    supplies  0.0001330671989354624
         for  0.0002661343978709248
        food  0.0001330671989354624
 preparation  0.0001330671989354624
      island  0.0009314703925482369
        cool  0.0014637391882900866
      sliced  0.0007984031936127744
       front  0.0009314703925482369
        grab  0.0005322687957418496
         cut  0.0015968063872255488
    followed  0.0001330671989354624
     putting  0.0017298735861610113
         ice  0.0002661343978709248
       cream  0.0002661343978709248
     blender  0.0001330671989354624
         off  0.0011976047904191617
        away  0.0010645375914836992
     beneath  0.0001330671989354624
        warm  0.0017298735861610113
      warmed  0.0007984031936127744
       paper  0.0011976047904191617
        roll  0.0005322687957418496
          an  0.0034597471723220225
       empty  0.0002661343978709248
     inspect  0.0007984031936127744
        near  0.0003992015968063872
         lit  0.0002661343978709248
       watch  0.0010645375914836992
       alarm  0.0002661343978709248
      larger  0.0001330671989354624
          re  0.0001330671989354624
   arranging  0.0001330671989354624
       large  0.0005322687957418496
        take  0.0017298735861610113
          be  0.0005322687957418496
        mugs  0.0002661343978709248
     desktop  0.0001330671989354624
     storage  0.0001330671989354624
       space  0.0002661343978709248
        cups  0.0001330671989354624
  television  0.0002661343978709248
      papers  0.0001330671989354624
        hold  0.0002661343978709248
      tissue  0.0005322687957418496
     section  0.0001330671989354624
           2  0.0005322687957418496
     bedside  0.0002661343978709248
       using  0.0006653359946773121
         use  0.0001330671989354624
        text  0.0001330671989354624
     turning  0.0006653359946773121
        read  0.0003992015968063872
         end  0.0007984031936127744
      purple  0.0005322687957418496
      frying  0.0003992015968063872
         red  0.0009314703925482369
        then  0.0003992015968063872
         hot  0.0003992015968063872
  microwaved  0.0003992015968063872
        that  0.0002661343978709248
         you  0.0001330671989354624
       found  0.0001330671989354624
        pink  0.0003992015968063872
         one  0.0006653359946773121
      rinsed  0.0007984031936127744
      golden  0.0005322687957418496
         dog  0.0003992015968063872
      pepper  0.0002661343978709248
        look  0.0009314703925482369
          at  0.0010645375914836992
         was  0.0001330671989354624
